@id,title,dateCreated,dateModified,sameAs,storageRegion.prefLabel,storageByteCount,creator.@id,creator.name,usage.viewCount,resourceNature.displayLabel,rights.name,hasOsfAddon.prefLabel,funder.name
https://test.osf.io/qp87r,Nici is Testing Angular,2025-09-30,2025-10-02,,Canada - Montréal,2758457,https://test.osf.io/783bw ; https://test.osf.io/cdr63,Nici Product ; Eric Olson,,,CC0 1.0 Universal,,NIH Blueprint for Neuroscience Research
https://test.osf.io/yekhx,Node 2,2019-12-26,2019-12-27,,United States,0,https://test.osf.io/gmea2 ; https://test.osf.io/rzbkw,Amanda Test Liscouski ; Pomona Sprout,,,,,
https://test.osf.io/mfxhw,Analysis,2019-11-15,2019-11-15,,United States,0,https://test.osf.io/3pwky ; https://test.osf.io/783bw,Sara Bowman ; Nici Product,,,CC0 1.0 Universal,,
https://test.osf.io/jsep7,Performance Test Project: Timing Variations and Spin Evolution in Radio Pulsars,2025-10-11,2025-10-20,https://doi.org/10.70102/FK2OSF.IO/JSEP7,United States,37426484,https://test.osf.io/8bd9a ; https://test.osf.io/9h4dy ; https://test.osf.io/nvxzg,Josh Google Inst ; Josh Write ; Josh Hernandez,1,OutputManagementPlan,Artistic License 2.0,,Fundação de Desenvolvimento Científico e Cultural ; Oxford Academic Health Science Centre
https://test.osf.io/4ds9h,Bulk Upload Test - Read-only Initiator,2021-12-21,2021-12-21,,United States,0,https://test.osf.io/dgj72 ; https://test.osf.io/qs75f ; https://test.osf.io/t49sy ; https://test.osf.io/xcrs8,Longze Chen - Super ; LC Test - WRITE Contributor ; LC Test - READ Contributor ; LC Test - Institutions,,,,,
https://test.osf.io/g47ar,SHARE Upgrade CRUD Project,2025-06-27,2025-06-27,,United States,0,https://test.osf.io/nvxzg,Josh Hernandez,,,,,
https://test.osf.io/tw3me,Bird Sounds,2024-08-13,2025-09-17,,United States,99574,https://test.osf.io/atryg ; https://test.osf.io/uwdve,Blaine Butler ; Fake Person,1,,,,
https://test.osf.io/vky6s,Test new component for spot check,2025-10-27,2025-10-27,,United States,0,https://test.osf.io/5ckty ; https://test.osf.io/kzqhy ; https://test.osf.io/t82fv ; https://test.osf.io/wdrkx,OSFTestingReadOnlyUser ; Ramyashri Virajamangala ; OSFTesting+Read+Write+User ; OSF Test Admin,,,Apache License 2.0,,
https://test.osf.io/7nwdq,Test Project 1,2024-06-03,2025-01-08,,United States,140629,https://test.osf.io/uwdve,Fake Person,2,,,figshare,
https://test.osf.io/ezdxf,test this,2024-09-20,2024-11-27,,Canada - Montréal,3181970,https://test.osf.io/cdr63,Eric Olson,1,Dataset,Other,Google Drive,Office of Naval Research
https://test.osf.io/hv927,test reg,2025-09-18,2025-10-13,,Canada - Montréal,0,https://test.osf.io/atryg,Blaine Butler,,,CC0 1.0 Universal,Google Drive,National Science Foundation
